	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Rrad	2.21E-65	1.066866023	0.93	0.556	4.42E-62	0	Rrad
Cd83	9.70E-61	0.85540031	1	0.781	1.94E-57	0	Cd83
Gpr84	1.15E-57	0.960257254	0.983	0.772	2.30E-54	0	Gpr84
Nlrp3	1.18E-55	0.836137845	0.904	0.59	2.36E-52	0	Nlrp3
Kdm6b	4.49E-51	0.654089499	0.939	0.568	8.98E-48	0	Kdm6b
Gm46224	8.15E-51	0.895517964	0.834	0.512	1.63E-47	0	Gm46224
Il1a	6.77E-47	0.75253736	0.956	0.63	1.35E-43	0	Il1a
Trib1	8.38E-47	0.669949179	0.886	0.568	1.68E-43	0	Trib1
Plaur	1.59E-45	0.637377351	0.904	0.481	3.18E-42	0	Plaur
Ifrd1	2.29E-44	0.771043572	0.983	0.77	4.58E-41	0	Ifrd1
Il1b	1.02E-43	0.933933356	0.93	0.671	2.04E-40	0	Il1b
C5ar1	2.76E-42	0.725277973	0.987	0.786	5.52E-39	0	C5ar1
C3ar1	3.41E-42	0.597103691	1	0.858	6.82E-39	0	C3ar1
Ctsl	7.84E-42	0.608584627	1	0.866	1.57E-38	0	Ctsl
Siglech	9.39E-42	0.626876455	0.983	0.756	1.88E-38	0	Siglech
Hexb	5.97E-40	0.57170189	1	0.923	1.19E-36	0	Hexb
Icam1	9.75E-40	0.614071122	0.934	0.591	1.95E-36	0	Icam1
Rhob	1.18E-39	0.697947105	0.996	0.749	2.36E-36	0	Rhob
Ctss	2.64E-38	0.528789869	1	0.952	5.27E-35	0	Ctss
Ccl4	2.09E-37	0.5921607	0.991	0.752	4.18E-34	0	Ccl4
Herpud1	6.95E-36	0.595760651	0.978	0.747	1.39E-32	0	Herpud1
Arl13b	1.71E-35	0.471028251	0.786	0.45	3.42E-32	0	Arl13b
Bcl2a1b	3.00E-35	0.537851972	0.987	0.825	6.01E-32	0	Bcl2a1b
Sqstm1	3.50E-35	0.603237861	0.987	0.922	6.99E-32	0	Sqstm1
Usp2	8.63E-35	0.506473673	0.873	0.563	1.73E-31	0	Usp2
Ecscr	1.76E-34	0.503957421	0.882	0.531	3.52E-31	0	Ecscr
Selplg	2.83E-34	0.530471952	0.987	0.697	5.66E-31	0	Selplg
Rab20	3.16E-34	0.581591757	0.908	0.681	6.32E-31	0	Rab20
Nfkb1	6.39E-34	0.560809543	0.786	0.479	1.28E-30	0	Nfkb1
Gpr34	3.06E-33	0.551809974	0.987	0.731	6.13E-30	0	Gpr34
Ier5	3.66E-33	0.529988107	0.996	0.8	7.33E-30	0	Ier5
