"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1520401A03Rik",0,3.17458720098782,0.496,0.025,0,"0","1520401A03Rik"
"Eln",0,2.83035087945844,0.873,0.245,0,"0","Eln"
"Cytl1",0,2.77785845990678,0.984,0.123,0,"0","Cytl1"
"Col9a3",0,2.60552916988354,0.911,0.039,0,"0","Col9a3"
"Snorc",0,2.60138401547066,0.905,0.023,0,"0","Snorc"
"Wif1",0,2.48603948196821,0.992,0.188,0,"0","Wif1"
"G0s2",0,2.35155808547616,0.415,0.041,0,"0","G0s2"
"Trf",0,2.32206638330074,0.561,0.068,0,"0","Trf"
"Chil1",0,2.24502796278421,0.824,0.088,0,"0","Chil1"
"Col8a1",0,2.1744306978335,0.992,0.209,0,"0","Col8a1"
"Smoc2",0,2.1330259458799,0.949,0.208,0,"0","Smoc2"
"Acan",0,2.13229581687986,0.887,0.033,0,"0","Acan"
"Col2a1",0,2.00273496493125,0.595,0.02,0,"0","Col2a1"
"Fzd9",0,1.88383417050372,0.705,0.021,0,"0","Fzd9"
"Col9a2",0,1.88183212847513,0.733,0.023,0,"0","Col9a2"
"Myoc",0,1.87587444100587,0.829,0.147,0,"0","Myoc"
"Prg4",0,1.86450105405713,0.552,0.03,0,"0","Prg4"
"Sdc4",0,1.8546883935376,0.992,0.644,0,"0","Sdc4"
"Rcan1",0,1.77230078116181,0.943,0.38,0,"0","Rcan1"
"Chad",0,1.76777082339934,0.851,0.107,0,"0","Chad"
"Cnmd",0,1.75355700171605,0.703,0.042,0,"0","Cnmd"
"Rbp4",0,1.75066199578709,0.881,0.158,0,"0","Rbp4"
"Sox9",0,1.72466167111162,0.781,0.143,0,"0","Sox9"
"Mia",0,1.68473046705333,0.815,0.071,0,"0","Mia"
"Cpe",0,1.60689679777324,0.971,0.394,0,"0","Cpe"
"Col27a1",0,1.58727247867077,0.83,0.102,0,"0","Col27a1"
"Cdo1",0,1.56176895669325,0.782,0.101,0,"0","Cdo1"
"Ecrg4",0,1.53608244079485,0.716,0.102,0,"0","Ecrg4"
"Col11a1",0,1.4946475832022,0.773,0.084,0,"0","Col11a1"
"Bgn",0,1.48777262345554,0.999,0.501,0,"0","Bgn"
"Ppp1r1b",0,1.39818728923396,0.708,0.031,0,"0","Ppp1r1b"
"S100b",0,1.36063614633251,0.591,0.031,0,"0","S100b"
"Clu",0,1.36032832086769,0.842,0.236,0,"0","Clu"
"Tlr2",0,1.35878201679119,0.757,0.185,0,"0","Tlr2"
"Col9a1",0,1.33434183930194,0.58,0.029,0,"0","Col9a1"
"Cx3cl1",0,1.27803499782352,0.533,0.036,0,"0","Cx3cl1"
"Abi3bp",0,1.27297402747539,0.916,0.261,0,"0","Abi3bp"
"Meltf",0,1.21806072556598,0.587,0.008,0,"0","Meltf"
"Pcolce2",0,1.20480278093076,0.733,0.166,0,"0","Pcolce2"
"Irx3",0,1.18922380903784,0.59,0.125,0,"0","Irx3"
"Sod3",0,1.1880825217808,0.673,0.138,0,"0","Sod3"
"C4b",0,1.12383390649529,0.596,0.056,0,"0","C4b"
"Loxl4",0,1.09542693158971,0.508,0.027,0,"0","Loxl4"
"Col11a2",0,1.08700074055553,0.515,0.012,0,"0","Col11a2"
"Lif",0,1.07149925086999,0.375,0.039,0,"0","Lif"
"Dkk3",0,1.05624549795029,0.663,0.138,0,"0","Dkk3"
"Timp4",0,1.04169682279124,0.467,0.032,0,"0","Timp4"
"Fgfr3",0,1.03933642504259,0.495,0.059,0,"0","Fgfr3"
"Fmod",0,1.03449026410779,0.776,0.129,0,"0","Fmod"
"Hapln1",0,1.00009280952821,0.478,0.025,0,"0","Hapln1"
"Susd5",0,0.934189734443238,0.478,0.022,0,"0","Susd5"
"Pla2g5",0,0.902786600638204,0.438,0.026,0,"0","Pla2g5"
"Gm19935",0,0.885628628232893,0.39,0.019,0,"0","Gm19935"
"Gpc6",0,0.846587214843046,0.467,0.05,0,"0","Gpc6"
"Foxa3",0,0.846009513927587,0.346,0.006,0,"0","Foxa3"
"Crispld1",0,0.845342406440922,0.504,0.065,0,"0","Crispld1"
"Wwp2",0,0.835043177236606,0.442,0.06,0,"0","Wwp2"
